sku,asin,main_decision,main_sha256,main_reason_codes,approved_replacement_candidate,gallery_structure_status,gallery_secondary_count,gallery_slot_1_status,gallery_product_visual_status,content_deterministic_status,content_full_evidence_status,content_failure_messages,content_fix_in_plan,price_status,consumer_price_check,business_price_check,min_price_check,max_price_check,discount_absent_check,list_price_absent_check,buyable,discoverable,required_repairs
SZ-ASPI-JFAT,B0H776M5B5,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,FAIL_SECONDARY_COUNT,1,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,FAIL_REPAIR_REQUIRED,FAIL_AND_NEEDS_EVIDENCE,own-brand title must contain exactly one count claim equal to 24; found 4,true,FAIL_RECIPE_RESOLUTION_REQUIRED,MISMATCH,MISMATCH,MISMATCH,MISMATCH,MATCH,MISMATCH,true,false,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|ADD_4_TO_6_PRODUCT_SECONDARIES_AFTER_FIXED_CARD|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|REPAIR_TEXT_SEMANTICS|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|RESOLVE_CANONICAL_RECIPE_COUNT_BEFORE_OFFER_REPAIR|REPAIR_CANONICAL_OFFER|CLEAR_OPERATIONAL_LISTING_ISSUES
UA-ASAO-RE7Q,B0H784LMG6,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,FAIL_INFOGRAPHIC_SLOT_1,7,WRONG_KNOWN_NUTRITION_PANEL,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MISMATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|REPAIR_INFOGRAPHIC_SLOT_1|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER|CLEAR_OPERATIONAL_LISTING_ISSUES
VC-ASV1-378P,B0H786L5MW,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,FAIL_INFOGRAPHIC_SLOT_1,7,WRONG_KNOWN_NUTRITION_PANEL,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MISMATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|REPAIR_INFOGRAPHIC_SLOT_1|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER|CLEAR_OPERATIONAL_LISTING_ISSUES
AZ-ASMY-VEQ2,B0H788M8WM,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,FAIL_INFOGRAPHIC_SLOT_1,7,WRONG_KNOWN_NUTRITION_PANEL,UNOBSERVABLE,FAIL_REPAIR_REQUIRED,FAIL_AND_NEEDS_EVIDENCE,"own-brand recipe contains individual pieces, not retail boxes/cases",true,FAIL_REPAIR_REQUIRED,MISMATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|REPAIR_INFOGRAPHIC_SLOT_1|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|REPAIR_TEXT_SEMANTICS|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER|CLEAR_OPERATIONAL_LISTING_ISSUES
XE-ASK1-BNRB,B0H81WMJBP,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MISMATCH,MISMATCH,MATCH,MATCH,MISMATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
GG-ASNC-C9WA,B0H8219Z7T,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MISMATCH,MISMATCH,MATCH,MATCH,MISMATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
RM-ASCV-DVA5,B0H822CVVL,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MISMATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
YF-ASZJ-8BBH,B0H822MPKC,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
JS-AS5F-QB8T,B0H822TJ7C,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,PASS_LIMITED_RULESET,NEEDS_EVIDENCE,,,FAIL_REPAIR_REQUIRED,MISMATCH,MISMATCH,MATCH,MATCH,MISMATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER|CLEAR_OPERATIONAL_LISTING_ISSUES
FK-AS6B-6G25,B0H8259J9G,UNOBSERVABLE,,NO_LOCAL_BYTES_FOR_OBSERVED_AMAZON_MAIN_URL,false,PASS_METADATA_AND_HASH_ALLOWLIST,7,VERIFIED_REQUIRED_INFOGRAPHIC,UNOBSERVABLE,FAIL_REPAIR_REQUIRED,FAIL_AND_NEEDS_EVIDENCE,own-brand content uses retail-count × pack-of multiplication,true,FAIL_REPAIR_REQUIRED,MATCH,MISMATCH,MATCH,MATCH,MATCH,MISMATCH,true,true,OBSERVE_MAIN_THEN_KEEP_OR_REGENERATE|DOWNLOAD_AND_VISUALLY_VERIFY_LIVE_PRODUCT_SECONDARIES|REPAIR_TEXT_SEMANTICS|BIND_TEXT_AND_STRUCTURED_CLAIMS_TO_PHYSICAL_PACKAGE_EVIDENCE|REPAIR_CANONICAL_OFFER
