queue_rank,queue_stage,ordinal,sku,asin,readiness,reference_gate,catalog_identity_gate,effective_total_units,presentation_class,pack_mode,component_plan,reason_codes,blocker_codes,generation_authorized,amazon_write_authorized
1,1,16,BM-AS5J-3MQY,B0H83LSCQQ,REFERENCE_READY_PENDING_EXPLICIT_CONTROLLED_GENERATION,PASS,PASS,90,individual_wraps,individual-wrapper,90x morning-protein-mixed-berry as individual-wrapper (90 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,,false,false
2,1,38,FR-AS6X-5KJY,B0H827V9DJ,REFERENCE_READY_PENDING_EXPLICIT_CONTROLLED_GENERATION,PASS,PASS,24,retail_boxes_single,retail-carton,24x chocolate-hazelnut as retail-carton (6 visible packages),LOOSE_ICE_VISIBLE|VISIBLE_TEXT_INTEGRITY_FAIL,,false,false
3,1,81,PL-ASR9-U94A,B0H83RR2XQ,REFERENCE_READY_PENDING_EXPLICIT_CONTROLLED_GENERATION,PASS,PASS,45,individual_wraps,individual-wrapper,45x morning-protein-mixed-berry as individual-wrapper (45 visible packages),INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,,false,false
4,1,96,RL-AS64-Q8QX,B0H82LZLM2,REFERENCE_READY_PENDING_EXPLICIT_CONTROLLED_GENERATION,PASS,PASS,30,individual_wraps,individual-wrapper,30x morning-protein-mixed-berry as individual-wrapper (30 visible packages),FICTIONAL_OR_ALTERED_PACKAGE_ART|WRONG_NUTRITION_OR_VARIANT_TEXT,,false,false
5,1,119,TL-ASHN-ZRKG,B0H85P9F3R,REFERENCE_READY_PENDING_EXPLICIT_CONTROLLED_GENERATION,PASS,PASS,24,individual_wraps,individual-wrapper,12x chocolate-hazelnut as individual-wrapper (12 visible packages) | 12x morning-protein-mixed-berry as individual-wrapper (12 visible packages),VISIBLE_UNIT_COUNT_NOT_RECONCILED,,false,false
6,1,132,VC-ASQE-L5Z5,B0H82QYM85,REFERENCE_READY_PENDING_EXPLICIT_CONTROLLED_GENERATION,PASS,PASS,45,individual_wraps,individual-wrapper,45x chocolate-hazelnut as individual-wrapper (45 visible packages),CARTON_COUNT_MATH_MISMATCH,,false,false
7,2,2,AD-AS4H-QXZD,B0H82J6V9T,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_single,retail-carton,24x peanut-butter-honey as retail-carton (6 visible packages),LOOSE_ICE_VISIBLE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
8,2,3,AG-ASKV-W9EN,B0H85B64V2,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x peanut-butter-honey as retail-carton (3 visible packages) | 12x peanut-butter-strawberry as retail-carton (3 visible packages),CARTON_COUNT_MATH_MISMATCH|WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT|FICTIONAL_OR_ALTERED_PACKAGE_ART,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
9,2,4,AJ-ASRB-HKC3,B0H84G7DHC,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x peanut-butter-raspberry as individual-wrapper (12 visible packages) | 12x morning-protein-mixed-berry as individual-wrapper (12 visible packages),MISSING_RECIPE_COMPONENT,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
10,2,5,AN-ASUW-49Y5,B0H8628LW3,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x chocolate-hazelnut as retail-carton (3 visible packages) | 12x peanut-butter-strawberry as retail-carton (3 visible packages),NO_APPROVED_COOLER_SCENE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
11,2,6,AU-AS97-USX8,B0H843Q9B5,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x peanut-butter-raspberry as retail-carton (3 visible packages) | 12x peanut-butter as retail-carton (3 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
12,2,9,AZ-ASMY-VEQ2,B0H788M8WM,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,30,individual_wraps,individual-wrapper,30x peanut-butter-strawberry as individual-wrapper (30 visible packages),CARTON_COUNT_MATH_MISMATCH|FICTIONAL_OR_ALTERED_PACKAGE_ART,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
13,2,10,BD-AS8P-XAW5,B0H85MXFH8,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x up-and-apple-protein as individual-wrapper (12 visible packages) | 12x peanut-butter-grape as individual-wrapper (12 visible packages),NO_APPROVED_COOLER_SCENE,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
14,2,11,BD-ASGH-LREJ,B0H86Z59DW,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,retail_boxes_mix,retail-carton,12x peanut-butter-honey as retail-carton (3 visible packages) | 12x reduced-sugar-strawberry-on-wheat as retail-carton (3 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
15,2,13,BH-ASTN-S4XJ,B0H83ZRNCS,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,24,individual_wraps,individual-wrapper,12x bright-eyed-berry-protein as individual-wrapper (12 visible packages) | 12x peanut-butter-blackberry as individual-wrapper (12 visible packages),WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT|WRONG_NUTRITION_OR_VARIANT_TEXT,AUTHENTICITY_REGISTRY_FLAVOR_MISSING|AUTHENTICITY_REGISTRY_PRESENTATION_ART_MISSING,false,false
16,2,14,BH-ASVY-CR8H,B0H83S368B,BLOCKED_AUTHENTICITY_PROVENANCE,BLOCK,PASS,120,retail_boxes_single,retail-carton,120x peanut-butter-raspberry as retail-carton (30 visible packages),CARTON_COUNT_MATH_MISMATCH,AUTHENTICITY_REGISTRY_FLAVOR_MISSING,false,false
