ordinal,sku,asin,owner_decision,owner_reason_code,owner_reason,human_arbitration_batch,strict_v8_decision,strict_v8_reason_codes,asset_sha256,asset_local_path,source_main_image_url
1,AC-AS4J-B64F,B0H82ZZS2P,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,KEEP,,6b7f1b519a2be868871a3fe767d5d284d567a4a00466a4cb0d5576bbb691bedb,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/001-AC-AS4J-B64F-B0H82ZZS2P-6b7f1b519a2b.jpg,https://m.media-amazon.com/images/I/81YSca2KlzL.jpg
2,AD-AS4H-QXZD,B0H82J6V9T,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,LOOSE_ICE_VISIBLE,cf0d3b06d0c438d19d2844bc23c51d6363fb7df73ac3d842d772945e51774c7f,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/002-AD-AS4H-QXZD-B0H82J6V9T-cf0d3b06d0c4.jpg,https://m.media-amazon.com/images/I/81kTpbtuTDL.jpg
3,AG-ASKV-W9EN,B0H85B64V2,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,CARTON_COUNT_MATH_MISMATCH|WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT|FICTIONAL_OR_ALTERED_PACKAGE_ART,7e274540b591bd781c7d019d8f09138f0c0f68a6819377dcce05edafe017492b,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/003-AG-ASKV-W9EN-B0H85B64V2-7e274540b591.jpg,https://m.media-amazon.com/images/I/81H6+56f6hL.jpg
4,AJ-ASRB-HKC3,B0H84G7DHC,CHANGE,MISSING_REQUIRED_PRODUCT,Required Morning Protein Mixed Berry is absent from the MAIN image.,A,REPAIR,MISSING_RECIPE_COMPONENT,97369434e19236edbe55e1b5c987c48b0771f5aac07b2bdb85efdcac94dd17d9,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/004-AJ-ASRB-HKC3-B0H84G7DHC-97369434e192.jpg,https://m.media-amazon.com/images/I/81BTAWWsV2L.jpg
5,AN-ASUW-49Y5,B0H8628LW3,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,NO_APPROVED_COOLER_SCENE,2710053915e6b3cb248bea6d987b9ca15d996817b95d3fc1fe276a8568f59630,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/005-AN-ASUW-49Y5-B0H8628LW3-2710053915e6.jpg,https://m.media-amazon.com/images/I/81GR0-ofL7L.jpg
6,AU-AS97-USX8,B0H843Q9B5,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,CARTON_COUNT_MATH_MISMATCH,9e71cf5d6f5b7b446eecd30bc1844a9ce04d99ad026e08135a429f6be665d4c5,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/006-AU-AS97-USX8-B0H843Q9B5-9e71cf5d6f5b.jpg,https://m.media-amazon.com/images/I/81-tkQHSahL.jpg
7,AV-AS7X-8EXK,B0H82JTY19,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,KEEP,,b396b5cf187557a3f773d206abcc3cbed72e7c671ee08678f121bd3a7113616c,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/007-AV-AS7X-8EXK-B0H82JTY19-b396b5cf1875.jpg,https://m.media-amazon.com/images/I/814Je6iMOXL.jpg
8,AY-AS5F-JEY9,B0H83MWTM7,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,KEEP,,044e5ca43a82de25389e70d0438793dc81685e152af9d59e11a290d7b0f0bceb,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/008-AY-AS5F-JEY9-B0H83MWTM7-044e5ca43a82.jpg,https://m.media-amazon.com/images/I/819Ma1hExEL.jpg
9,AZ-ASMY-VEQ2,B0H788M8WM,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,CARTON_COUNT_MATH_MISMATCH|FICTIONAL_OR_ALTERED_PACKAGE_ART,9b8f93057114a28e79e7f7115f39defa1f9a4a67fc4c604cfdefe983ad73c39b,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/009-AZ-ASMY-VEQ2-B0H788M8WM-9b8f93057114.jpg,https://m.media-amazon.com/images/I/81ZdFP6qYdL.jpg
10,BD-AS8P-XAW5,B0H85MXFH8,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,NO_APPROVED_COOLER_SCENE,0124cb930fb56fce7760407b429d6831bce14bb61704227592e273bb277eae74,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/010-BD-AS8P-XAW5-B0H85MXFH8-0124cb930fb5.jpg,https://m.media-amazon.com/images/I/81L9rsgXuIL.jpg
11,BD-ASGH-LREJ,B0H86Z59DW,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,CARTON_COUNT_MATH_MISMATCH,f945e50022696343cd3b1486f90de1adfa8290e703664bf684b0a23f867f3442,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/011-BD-ASGH-LREJ-B0H86Z59DW-f945e5002269.jpg,https://m.media-amazon.com/images/I/81RqFtpZirL.jpg
12,BH-AS7H-D4FV,B0H853MCYZ,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,KEEP,,8963818335ec717ed451d04303545d823cc58d040fb8621e52c1a9840cb03005,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/012-BH-AS7H-D4FV-B0H853MCYZ-8963818335ec.jpg,https://m.media-amazon.com/images/I/81pbjMXy6OL.jpg
13,BH-ASTN-S4XJ,B0H83ZRNCS,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT|WRONG_NUTRITION_OR_VARIANT_TEXT,e7aa2aee84abbe0f7efcccdb10c264515d832eb6042caf2fed88481547a5ef72,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/013-BH-ASTN-S4XJ-B0H83ZRNCS-e7aa2aee84ab.jpg,https://m.media-amazon.com/images/I/81e4LsCv9sL.jpg
14,BH-ASVY-CR8H,B0H83S368B,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,CARTON_COUNT_MATH_MISMATCH,508feec6218e07feb577ab447324be84f2f7cb125be3a0a5db2652d605bcfc09,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/014-BH-ASVY-CR8H-B0H83S368B-508feec6218e.jpg,https://m.media-amazon.com/images/I/81dXdCaN4GL.jpg
15,BK-AS5Z-8UY5,B0H85JF1V1,CHANGE,WRONG_PRODUCT_VARIANT,Required Whole-Wheat Blackberry is replaced by Grape.,A,REPAIR,WRONG_FLAVOR_VISIBLE|MISSING_RECIPE_COMPONENT,d61f1d41c5d5f719df8a4e82f44d5dababd670b27e484ca05c306dcbfb4deed1,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/015-BK-AS5Z-8UY5-B0H85JF1V1-d61f1d41c5d5.jpg,https://m.media-amazon.com/images/I/81haelWUh9L.jpg
16,BM-AS5J-3MQY,B0H83LSCQQ,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,5f985044fe6b0f37645fc6f8466da8785a70148e0c8e307784b84c0cba5732d2,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/016-BM-AS5J-3MQY-B0H83LSCQQ-5f985044fe6b.jpg,https://m.media-amazon.com/images/I/81xuTiRV6AL.jpg
17,BQ-ASUE-NT37,B0H842HL49,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,GENERIC_OR_UNBRANDED_PACKAGE,c32e209b1f761bde77a26edf75d078370372769cc187f908560555380889610a,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/017-BQ-ASUE-NT37-B0H842HL49-c32e209b1f76.jpg,https://m.media-amazon.com/images/I/81b3Qb0ZQzL.jpg
18,BX-AS5P-6WQV,B0H83NM5PX,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,CARTON_COUNT_MATH_MISMATCH|LOOSE_ICE_VISIBLE,e1d784167ae4c611c925233f4f00e23f3c1ce0d8e70623432e04b24887884c3a,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/018-BX-AS5P-6WQV-B0H83NM5PX-e1d784167ae4.jpg,https://m.media-amazon.com/images/I/81NtH-f5W7L.jpg
19,BY-ASY2-8UJJ,B0H83789KC,KEEP,OWNER_RELAXED_DEFAULT_KEEP,"Keep the current MAIN under the owner-approved relaxed norm; strict cosmetic, count, layout, ice, minor print, or unproven-edition objections are non-blocking unless human arbitration confirmed a fictional/wrong/missing product.",,REPAIR,INDIVIDUAL_WRAPPER_HAS_CARTON_COUNT_BADGE|MINI_CARTON_PRESENTED_AS_WRAPPER,765eb5479ae7c9002ec92f4a5395c7f102243289a76ba306bc3a69a2e04f474d,data/audits/uncrustables-live-main-fetch-20260718-v1/assets/019-BY-ASY2-8UJJ-B0H83789KC-765eb5479ae7.jpg,https://m.media-amazon.com/images/I/81PNfwuTnSL.jpg
